date,open,high,low,close,adjusted_close,volume
2025-04-07,87.46,101.75,86.62,97.64,97.64,611041250.0
2025-04-08,103.805,105.85,94.46,96.3,96.3,476243406.0
2025-04-09,98.89,115.1,97.5301,114.33,114.33,612918250.0
2025-04-10,109.37,110.86,99.15,107.57,107.57,437812406.0
2025-04-11,108.5,111.5499,107.48,110.93,110.93,313417312.0
2025-04-14,114.11,114.29,109.07,110.71,110.71,264705000.0
2025-04-15,110.97,113.615,110.5,112.2,112.2,228966891.0
2025-04-16,104.55,106.79,100.45,104.49,104.49,397016906.0
2025-04-17,104.45,104.47,100.05,101.49,101.49,292517465.0
2025-04-21,98.77,99.44,95.04,96.91,96.91,288501094.0
2025-04-22,98.78,99.811,97.28,98.89,98.89,241004797.0
2025-04-23,104.52,104.8,102.02,102.71,102.71,247526000.0
2025-04-24,103.475,106.54,103.11,106.43,106.43,220815016.0
2025-04-25,106.85,111.92,105.73,111.01,111.01,251064703.0
2025-04-28,109.69,110.3699,106.02,108.73,108.73,207708500.0
2025-04-29,107.67,110.1999,107.44,109.02,109.02,170444297.0
2025-04-30,104.47,108.92,104.08,108.92,108.92,235044609.0
2025-05-01,113.08,114.94,111.3,111.61,111.61,236121500.0
2025-05-02,114.18,115.4,113.37,114.5,114.5,190194797.0
2025-05-05,112.905,114.665,112.66,113.82,113.82,133163203.0
2025-05-06,111.48,114.74,110.822,113.54,113.54,158525594.0
2025-05-07,113.045,117.68,112.2818,117.06,117.06,207827812.0
2025-05-08,118.25,118.68,115.85,117.37,117.37,198428094.0
2025-05-09,117.35,118.23,115.21,116.65,116.65,132972203.0
2025-05-12,121.97,123.0,120.28,123.0,123.0,225023297.0
2025-05-13,124.98,131.2189,124.47,129.93,129.93,330430125.0
2025-05-14,133.195,135.435,131.68,135.34,135.34,281180812.0
2025-05-15,134.295,136.3,132.66,134.83,134.83,226632609.0
2025-05-16,136.22,136.35,133.46,135.4,135.4,226542500.0
2025-05-19,132.39,135.87,132.39,135.57,135.57,193154594.0
2025-05-20,134.29,134.58,132.62,134.38,134.38,161514203.0
2025-05-21,133.06,137.4,130.59,131.8,131.8,270608719.0
2025-05-22,132.23,134.25,131.55,132.83,132.83,187344000.0
2025-05-23,130.0,132.68,129.16,131.29,131.29,198821324.0
2025-05-27,134.15,135.66,133.31,135.5,135.5,192953594.0
2025-05-28,136.025,137.25,134.79,134.81,134.81,304021094.0
2025-05-29,142.245,143.49,137.91,139.19,139.19,370615188.0
2025-05-30,138.715,139.62,132.92,135.13,135.13,333170906.0
2025-06-02,135.49,138.12,135.4,137.38,137.38,197663109.0
2025-06-03,138.78,142.0,137.95,141.22,141.22,225578797.0
2025-06-04,142.19,142.39,139.545,141.92,141.92,167120797.0
2025-06-05,142.17,144.0,138.83,139.99,139.99,232410797.0
2025-06-06,142.51,143.27,141.51,141.72,141.72,153986203.0
2025-06-09,143.19,145.0,141.94,142.63,142.63,185114500.0
2025-06-10,142.69,144.29,141.525,143.96,143.96,155881906.0
2025-06-11,144.61,144.99,141.87,142.83,142.83,167694000.0
2025-06-12,141.97,145.0,141.85,145.0,145.0,162364984.0
2025-06-13,142.48,143.58,140.855,141.97,141.97,180820609.0
2025-06-16,143.345,146.175,143.2001,144.69,144.69,183133703.0
2025-06-17,144.49,145.22,143.78,144.12,144.12,139108000.0
2025-06-18,144.005,145.65,143.12,145.48,145.48,161494121.0
2025-06-20,145.45,146.2,142.65,143.85,143.85,242956157.0
2025-06-23,142.5,144.78,142.03,144.17,144.17,154308891.0
2025-06-24,145.56,147.96,145.5,147.9,147.9,187566094.0
2025-06-25,149.27,154.45,149.26,154.31,154.31,269146500.0
2025-06-26,155.975,156.715,154.0,155.02,155.02,198145703.0
2025-06-27,156.04,158.71,155.255,157.75,157.75,263234500.0
2025-06-30,158.4,158.66,155.96,157.99,157.99,194580297.0
2025-07-01,156.29,157.2,151.49,153.3,153.3,213143594.0
2025-07-02,152.98,157.6,152.97,157.25,157.25,171224094.0
2025-07-03,158.37,160.98,157.77,159.34,159.34,143716055.0
2025-07-07,158.2,159.31,157.342,158.24,158.24,140139016.0
2025-07-08,159.33,160.22,158.39,160.0,160.0,138132984.0
2025-07-09,161.22,164.42,161.16,162.88,162.88,183656406.0
2025-07-10,164.32,164.5,161.61,164.1,164.1,167704094.0
2025-07-11,163.715,167.89,163.47,164.92,164.92,193633297.0
2025-07-14,165.37,165.49,162.02,164.07,164.07,136975812.0
2025-07-15,171.19,172.4,169.195,170.7,170.7,230627391.0
2025-07-16,171.06,171.75,168.9,171.37,171.37,158831500.0
2025-07-17,172.02,174.16,170.83,173.0,173.0,160841109.0
2025-07-18,173.64,174.25,171.26,172.41,172.41,146456406.0
2025-07-21,172.75,173.38,171.0,171.38,171.38,123126094.0
